Cell	Subpopulation
SA039-A96199B-R52-C42	1
SA039-A96199B-R52-C44	1
SA039-A96199B-R52-C49	1
SA039-A96199B-R52-C50	1
SA039-A96199B-R52-C52	1
SA039-A96199B-R52-C54	1
SA039-A96199B-R52-C57	1
SA039-A96199B-R52-C60	1
SA039-A96199B-R52-C61	1
SA039-A96199B-R52-C63	1
SA039-A96199B-R52-C67	1
SA039-A96199B-R52-C69	1
SA039-A96199B-R52-C70	1
SA039-A96199B-R53-C08	1
SA039-A96199B-R53-C11	1
SA039-A96199B-R53-C13	1
SA039-A96199B-R53-C15	1
SA039-A96199B-R53-C21	1
SA039-A96199B-R53-C22	1
SA039-A96199B-R53-C23	1
SA039-A96199B-R53-C24	1
SA039-A96199B-R53-C26	1
SA039-A96199B-R53-C27	1
SA039-A96199B-R53-C28	1
SA039-A96199B-R53-C31	1
SA039-A96199B-R53-C33	1
SA039-A96199B-R53-C38	1
SA039-A96199B-R53-C40	1
SA039-A96199B-R53-C41	1
SA039-A96199B-R53-C42	1
SA039-A96199B-R53-C43	1
SA039-A96199B-R53-C44	1
SA039-A96199B-R53-C47	1
SA039-A96199B-R53-C48	1
SA039-A96199B-R53-C51	1
SA039-A96199B-R53-C53	1
SA039-A96199B-R53-C56	1
SA039-A96199B-R53-C64	1
SA039-A96199B-R53-C66	1
SA039-A96199B-R53-C67	1
SA039-A96199B-R53-C68	1
SA039-A96199B-R53-C69	1
SA039-A96199B-R53-C70	1
SA039-A96199B-R54-C14	1
SA039-A96199B-R54-C15	1
SA039-A96199B-R54-C19	1
SA039-A96199B-R54-C20	1
SA039-A96199B-R54-C24	1
SA039-A96199B-R54-C25	1
SA039-A96199B-R54-C26	1
SA039-A96199B-R54-C28	1
SA039-A96199B-R54-C29	1
SA039-A96199B-R54-C32	1
SA039-A96199B-R54-C33	1
SA039-A96199B-R54-C36	1
SA039-A96199B-R54-C37	1
SA039-A96199B-R54-C42	1
SA039-A96199B-R54-C45	1
SA039-A96199B-R54-C46	1
SA039-A96199B-R54-C47	1
SA039-A96199B-R54-C50	1
SA039-A96199B-R54-C53	1
SA039-A96199B-R54-C56	1
SA039-A96199B-R54-C57	1
SA039-A96199B-R54-C59	1
SA039-A96199B-R54-C60	1
SA039-A96199B-R54-C61	1
SA039-A96199B-R54-C62	1
SA039-A96199B-R54-C63	1
SA039-A96199B-R54-C65	1
SA039-A96199B-R54-C66	1
SA039-A96199B-R54-C68	1
SA039-A96199B-R54-C69	1
SA039-A96199B-R55-C07	1
