Cell	Phase
SA906-A73046B-R51-C51.bam	G1
SA906-A73046B-R51-C52.bam	S
SA906-A73046B-R51-C53.bam	G1
SA906-A73046B-R51-C54.bam	S
SA906-A73046B-R51-C55.bam	G1
SA906-A73046B-R51-C56.bam	S
SA906-A73046B-R51-C57.bam	S
SA906-A73046B-R51-C58.bam	G1
SA906-A73046B-R51-C59.bam	G1
SA906-A73046B-R51-C62.bam	G1
SA906-A73046B-R51-C63.bam	G1
SA906-A73046B-R51-C64.bam	G1
SA906-A73046B-R51-C65.bam	S
SA906-A73046B-R51-C66.bam	G1
SA906-A73046B-R51-C67.bam	S
SA906-A73046B-R51-C68.bam	G1
SA906-A73046B-R52-C04.bam	G1
SA906-A73046B-R52-C07.bam	G1
SA906-A73046B-R52-C08.bam	G1
SA906-A73046B-R52-C09.bam	S
SA906-A73046B-R52-C10.bam	G1
SA906-A73046B-R52-C11.bam	G1
SA906-A73046B-R52-C12.bam	G1
SA906-A73046B-R52-C13.bam	S
SA906-A73046B-R52-C14.bam	G1
SA906-A73046B-R52-C15.bam	G1
SA906-A73046B-R52-C16.bam	S
SA906-A73046B-R52-C17.bam	G1
SA906-A73046B-R52-C18.bam	G1
SA906-A73046B-R52-C19.bam	G1
SA906-A73046B-R52-C20.bam	S
SA906-A73046B-R52-C21.bam	S
SA906-A73046B-R52-C22.bam	S
SA906-A73046B-R52-C23.bam	G1
SA906-A73046B-R52-C25.bam	S
SA906-A73046B-R52-C26.bam	G1
SA906-A73046B-R52-C27.bam	G1
SA906-A73046B-R52-C28.bam	G1
SA906-A73046B-R52-C29.bam	G1
SA906-A73046B-R52-C30.bam	S
SA906-A73046B-R52-C31.bam	G1
SA906-A73046B-R52-C32.bam	G1
SA906-A73046B-R52-C34.bam	S
SA906-A73046B-R52-C35.bam	S
SA906-A73046B-R52-C37.bam	S
SA906-A73046B-R52-C38.bam	G1
SA906-A73046B-R52-C39.bam	G1
SA906-A73046B-R52-C41.bam	G1
SA906-A73046B-R52-C42.bam	G1
SA906-A73046B-R52-C43.bam	G1
SA906-A73046B-R52-C44.bam	S
SA906-A73046B-R52-C46.bam	S
SA906-A73046B-R52-C47.bam	G1
SA906-A73046B-R52-C48.bam	G1
SA906-A73046B-R52-C49.bam	G1
SA906-A73046B-R52-C51.bam	G1
SA906-A73046B-R52-C52.bam	G1
SA906-A73046B-R52-C54.bam	G1
SA906-A73046B-R52-C55.bam	G1
SA906-A73046B-R52-C56.bam	S
SA906-A73046B-R52-C57.bam	G1
SA906-A73046B-R52-C59.bam	S
SA906-A73046B-R52-C61.bam	G1
