Cell	Phase
SA928-A73044A-R20-C26.bam	G1
SA928-A73044A-R20-C27.bam	G1
SA928-A73044A-R20-C28.bam	S
SA928-A73044A-R20-C29.bam	G1
SA928-A73044A-R20-C32.bam	G1
SA928-A73044A-R20-C34.bam	G1
SA928-A73044A-R20-C35.bam	S
SA928-A73044A-R20-C37.bam	G1
SA928-A73044A-R20-C40.bam	S
SA928-A73044A-R20-C41.bam	S
SA928-A73044A-R20-C42.bam	S
SA928-A73044A-R20-C43.bam	S
SA928-A73044A-R20-C44.bam	S
SA928-A73044A-R20-C45.bam	S
SA928-A73044A-R20-C48.bam	S
SA928-A73044A-R20-C49.bam	S
SA928-A73044A-R20-C50.bam	S
SA928-A73044A-R20-C51.bam	S
SA928-A73044A-R20-C52.bam	S
SA928-A73044A-R20-C56.bam	G1
SA928-A73044A-R20-C57.bam	G1
SA928-A73044A-R20-C58.bam	G1
SA928-A73044A-R20-C59.bam	S
SA928-A73044A-R20-C60.bam	G1
SA928-A73044A-R20-C61.bam	G1
SA928-A73044A-R20-C64.bam	G1
SA928-A73044A-R20-C66.bam	G1
SA928-A73044A-R20-C67.bam	G1
SA928-A73044A-R20-C68.bam	S
SA928-A73044A-R20-C69.bam	S
SA928-A73044A-R20-C70.bam	S
SA928-A73044A-R21-C03.bam	G1
SA928-A73044A-R21-C05.bam	G1
SA928-A73044A-R21-C06.bam	G1
SA928-A73044A-R21-C07.bam	G1
SA928-A73044A-R21-C08.bam	G1
SA928-A73044A-R21-C09.bam	S
SA928-A73044A-R21-C10.bam	G1
SA928-A73044A-R21-C11.bam	G1
SA928-A73044A-R21-C12.bam	G1
SA928-A73044A-R21-C13.bam	G1
SA928-A73044A-R21-C14.bam	G1
SA928-A73044A-R21-C16.bam	G1
SA928-A73044A-R21-C17.bam	G1
SA928-A73044A-R21-C18.bam	G1
SA928-A73044A-R21-C19.bam	G1
SA928-A73044A-R21-C20.bam	S
SA928-A73044A-R21-C21.bam	G1
SA928-A73044A-R21-C22.bam	G1
SA928-A73044A-R21-C24.bam	G1
SA928-A73044A-R21-C25.bam	G1
SA928-A73044A-R21-C26.bam	G1
SA928-A73044A-R21-C28.bam	G1
SA928-A73044A-R21-C30.bam	G1
SA928-A73044A-R21-C32.bam	G1
SA928-A73044A-R21-C37.bam	G1
SA928-A73044A-R21-C40.bam	S
SA928-A73044A-R21-C42.bam	S
SA928-A73044A-R21-C43.bam	S
SA928-A73044A-R21-C44.bam	S
SA928-A73044A-R21-C48.bam	S
SA928-A73044A-R21-C49.bam	S
SA928-A73044A-R21-C50.bam	S
SA928-A73044A-R21-C51.bam	S
SA928-A73044A-R21-C56.bam	G1
SA928-A73044A-R21-C57.bam	G1
SA928-A73044A-R21-C58.bam	G1
SA928-A73044A-R21-C59.bam	G1
SA928-A73044A-R21-C60.bam	G1
SA928-A73044A-R21-C61.bam	G1
SA928-A73044A-R21-C64.bam	G1
SA928-A73044A-R21-C66.bam	G1
SA928-A73044A-R21-C68.bam	G1
SA928-A73044A-R21-C69.bam	G1
SA928-A73044A-R21-C70.bam	G1
SA928-A73044A-R22-C03.bam	G1
SA928-A73044A-R22-C05.bam	G1
SA928-A73044A-R22-C06.bam	G1
