Cell	Phase	Subpopulation
SA1101-A96193B-R38-C40.bam	G1	2
SA1101-A96193B-R38-C41.bam	G1	1
SA1101-A96193B-R38-C42.bam	G1	1
SA1101-A96193B-R38-C43.bam	G1	1
SA1101-A96193B-R38-C44.bam	S	1
SA1101-A96193B-R38-C45.bam	G1	1
SA1101-A96193B-R38-C46.bam	G1	2
SA1101-A96193B-R38-C47.bam	G1	1
SA1101-A96193B-R38-C48.bam	G1	1
SA1101-A96193B-R38-C50.bam	G1	1
SA1101-A96193B-R38-C51.bam	S	1
SA1101-A96193B-R38-C54.bam	G1	1
SA1101-A96193B-R38-C55.bam	S	1
SA1101-A96193B-R38-C56.bam	S	1
SA1101-A96193B-R38-C57.bam	G1	2
SA1101-A96193B-R38-C59.bam	S	1
SA1101-A96193B-R38-C60.bam	S	1
SA1101-A96193B-R38-C64.bam	G1	2
SA1101-A96193B-R38-C67.bam	G1	1
SA1101-A96193B-R39-C07.bam	G1	2
SA1101-A96193B-R39-C11.bam	G1	1
SA1101-A96193B-R39-C12.bam	S	2
SA1101-A96193B-R39-C13.bam	G1	1
SA1101-A96193B-R39-C14.bam	S	1
SA1101-A96193B-R39-C17.bam	G1	1
SA1101-A96193B-R39-C18.bam	G1	2
SA1101-A96193B-R39-C19.bam	G1	2
SA1101-A96193B-R39-C20.bam	S	1
SA1101-A96193B-R39-C21.bam	G1	1
SA1101-A96193B-R39-C24.bam	G1	1
SA1101-A96193B-R39-C25.bam	S	1
SA1101-A96193B-R39-C26.bam	G1	2
SA1101-A96193B-R39-C29.bam	S	1
SA1101-A96193B-R39-C32.bam	S	1
SA1101-A96193B-R39-C37.bam	G1	1
SA1101-A96193B-R39-C39.bam	S	1
SA1101-A96193B-R39-C40.bam	S	1
SA1101-A96193B-R39-C41.bam	S	1
SA1101-A96193B-R39-C42.bam	S	1
SA1101-A96193B-R39-C47.bam	S	1
SA1101-A96193B-R39-C49.bam	G1	1
SA1101-A96193B-R39-C51.bam	S	1
SA1101-A96193B-R39-C55.bam	G1	1
SA1101-A96193B-R39-C56.bam	S	1
SA1101-A96193B-R39-C61.bam	G1	1
SA1101-A96193B-R39-C63.bam	G1	1
SA1101-A96193B-R39-C64.bam	S	1
SA1101-A96193B-R39-C67.bam	S	1
SA1101-A96193B-R40-C07.bam	S	1
SA1101-A96193B-R40-C08.bam	G1	1
SA1101-A96193B-R40-C09.bam	S	1
SA1101-A96193B-R40-C13.bam	S	1
SA1101-A96193B-R40-C15.bam	S	1
SA1101-A96193B-R40-C18.bam	G1	2
SA1101-A96193B-R40-C19.bam	S	1
SA1101-A96193B-R40-C20.bam	G1	2
SA1101-A96193B-R40-C21.bam	G1	1
SA1101-A96193B-R40-C22.bam	S	1
SA1101-A96193B-R40-C23.bam	G1	2
SA1101-A96193B-R40-C24.bam	G1	1
SA1101-A96193B-R40-C25.bam	G1	1
SA1101-A96193B-R40-C27.bam	S	1
SA1101-A96193B-R40-C28.bam	G1	1
